Stock,Date,Relative_Date,Begin_price,Current_price,Accumulate_ret,Accumulate_ave_ret,Exhibition,Year
上銀,2026-07-20,-22,320.5,300.0,-6.4,-6.4,Tairos機器人展,2026
上銀,2026-07-21,-21,320.5,305.0,-4.84,-2.42,Tairos機器人展,2026
上銀,2026-07-22,-20,320.5,320.5,0.0,0.0,Tairos機器人展,2026
上銀,2026-07-23,-19,320.5,319.5,-0.31,-0.08,Tairos機器人展,2026
上銀,2026-07-24,-18,320.5,313.0,-2.34,-0.47,Tairos機器人展,2026
上銀,2026-07-27,-17,320.5,323.0,0.78,0.13,Tairos機器人展,2026
上銀,2026-07-28,-16,320.5,300.0,-6.4,-0.91,Tairos機器人展,2026
上銀,2026-07-29,-15,320.5,290.5,-9.36,-1.17,Tairos機器人展,2026
上銀,2026-07-30,-14,320.5,283.0,-11.7,-1.3,Tairos機器人展,2026
上銀,2026-07-31,-13,320.5,304.5,-4.99,-0.5,Tairos機器人展,2026
上銀,2026-08-03,-12,320.5,332.0,3.59,0.33,Tairos機器人展,2026
上銀,2026-08-04,-11,320.5,332.0,3.59,0.3,Tairos機器人展,2026
上銀,2026-08-05,-10,320.5,365.0,13.88,1.07,Tairos機器人展,2026
上銀,2026-08-06,-9,320.5,362.0,12.95,0.92,Tairos機器人展,2026
上銀,2026-08-07,-8,320.5,387.0,20.75,1.38,Tairos機器人展,2026
上銀,2026-08-10,-7,320.5,387.0,20.75,1.3,Tairos機器人展,2026
上銀,2026-08-11,-6,320.5,368.0,14.82,0.87,Tairos機器人展,2026
上銀,2026-08-12,-5,320.5,369.0,15.13,0.84,Tairos機器人展,2026
上銀,2026-08-13,-4,320.5,381.0,18.88,0.99,Tairos機器人展,2026
上銀,2026-08-14,-3,320.5,373.5,16.54,0.83,Tairos機器人展,2026
上銀,2026-08-17,-2,320.5,381.5,19.03,0.91,Tairos機器人展,2026
上銀,2026-08-18,-1,320.5,368.0,14.82,0.67,Tairos機器人展,2026
上銀,2026-08-19,0,320.5,367.0,14.51,0.63,Tairos機器人展,2026
上銀,2026-08-20,1,320.5,366.5,14.35,0.6,Tairos機器人展,2026
上銀,2026-08-21,2,320.5,349.0,8.89,0.36,Tairos機器人展,2026
上銀,2026-08-24,3,320.5,343.5,7.18,0.28,Tairos機器人展,2026
上銀,2026-08-25,4,320.5,345.5,7.8,0.29,Tairos機器人展,2026
上銀,2026-08-26,5,320.5,353.0,10.14,0.36,Tairos機器人展,2026
上銀,2026-08-27,6,320.5,359.5,12.17,0.42,Tairos機器人展,2026
研華,2026-07-20,-22,596.0,516.0,-13.42,-13.42,Tairos機器人展,2026
研華,2026-07-21,-21,596.0,567.0,-4.87,-2.43,Tairos機器人展,2026
研華,2026-07-22,-20,596.0,596.0,0.0,0.0,Tairos機器人展,2026
研華,2026-07-23,-19,596.0,600.0,0.67,0.17,Tairos機器人展,2026
研華,2026-07-24,-18,596.0,581.0,-2.52,-0.5,Tairos機器人展,2026
研華,2026-07-27,-17,596.0,577.0,-3.19,-0.53,Tairos機器人展,2026
研華,2026-07-28,-16,596.0,556.0,-6.71,-0.96,Tairos機器人展,2026
研華,2026-07-29,-15,596.0,550.0,-7.72,-0.96,Tairos機器人展,2026
研華,2026-07-30,-14,596.0,547.0,-8.22,-0.91,Tairos機器人展,2026
研華,2026-07-31,-13,596.0,563.0,-5.54,-0.55,Tairos機器人展,2026
研華,2026-08-03,-12,596.0,576.0,-3.36,-0.31,Tairos機器人展,2026
研華,2026-08-04,-11,596.0,576.0,-3.36,-0.28,Tairos機器人展,2026
研華,2026-08-05,-10,596.0,633.0,6.21,0.48,Tairos機器人展,2026
研華,2026-08-06,-9,596.0,622.0,4.36,0.31,Tairos機器人展,2026
研華,2026-08-07,-8,596.0,634.0,6.38,0.43,Tairos機器人展,2026
研華,2026-08-10,-7,596.0,667.0,11.91,0.74,Tairos機器人展,2026
研華,2026-08-11,-6,596.0,661.0,10.91,0.64,Tairos機器人展,2026
研華,2026-08-12,-5,596.0,686.0,15.1,0.84,Tairos機器人展,2026
研華,2026-08-13,-4,596.0,698.0,17.11,0.9,Tairos機器人展,2026
研華,2026-08-14,-3,596.0,683.0,14.6,0.73,Tairos機器人展,2026
研華,2026-08-17,-2,596.0,674.0,13.09,0.62,Tairos機器人展,2026
研華,2026-08-18,-1,596.0,679.0,13.93,0.63,Tairos機器人展,2026
研華,2026-08-19,0,596.0,694.0,16.44,0.71,Tairos機器人展,2026
研華,2026-08-20,1,596.0,673.0,12.92,0.54,Tairos機器人展,2026
研華,2026-08-21,2,596.0,649.0,8.89,0.36,Tairos機器人展,2026
研華,2026-08-24,3,596.0,658.0,10.4,0.4,Tairos機器人展,2026
研華,2026-08-25,4,596.0,670.0,12.42,0.46,Tairos機器人展,2026
研華,2026-08-26,5,596.0,688.0,15.44,0.55,Tairos機器人展,2026
研華,2026-08-27,6,596.0,675.0,13.26,0.46,Tairos機器人展,2026
所羅門,2026-07-20,-22,139.0,134.5,-3.24,-3.24,Tairos機器人展,2026
所羅門,2026-07-21,-21,139.0,138.5,-0.36,-0.18,Tairos機器人展,2026
所羅門,2026-07-22,-20,139.0,139.0,0.0,0.0,Tairos機器人展,2026
所羅門,2026-07-23,-19,139.0,142.0,2.16,0.54,Tairos機器人展,2026
所羅門,2026-07-24,-18,139.0,145.0,4.32,0.86,Tairos機器人展,2026
所羅門,2026-07-27,-17,139.0,144.5,3.96,0.66,Tairos機器人展,2026
所羅門,2026-07-28,-16,139.0,134.0,-3.6,-0.51,Tairos機器人展,2026
所羅門,2026-07-29,-15,139.0,137.0,-1.44,-0.18,Tairos機器人展,2026
所羅門,2026-07-30,-14,139.0,123.5,-11.15,-1.24,Tairos機器人展,2026
所羅門,2026-07-31,-13,139.0,121.0,-12.95,-1.29,Tairos機器人展,2026
所羅門,2026-08-03,-12,139.0,132.5,-4.68,-0.43,Tairos機器人展,2026
所羅門,2026-08-04,-11,139.0,132.0,-5.04,-0.42,Tairos機器人展,2026
所羅門,2026-08-05,-10,139.0,145.0,4.32,0.33,Tairos機器人展,2026
所羅門,2026-08-06,-9,139.0,144.5,3.96,0.28,Tairos機器人展,2026
所羅門,2026-08-07,-8,139.0,143.5,3.24,0.22,Tairos機器人展,2026
所羅門,2026-08-10,-7,139.0,153.5,10.43,0.65,Tairos機器人展,2026
所羅門,2026-08-11,-6,139.0,140.5,1.08,0.06,Tairos機器人展,2026
所羅門,2026-08-12,-5,139.0,143.0,2.88,0.16,Tairos機器人展,2026
所羅門,2026-08-13,-4,139.0,157.0,12.95,0.68,Tairos機器人展,2026
所羅門,2026-08-14,-3,139.0,159.5,14.75,0.74,Tairos機器人展,2026
所羅門,2026-08-17,-2,139.0,175.0,25.9,1.23,Tairos機器人展,2026
所羅門,2026-08-18,-1,139.0,177.5,27.7,1.26,Tairos機器人展,2026
所羅門,2026-08-19,0,139.0,161.0,15.83,0.69,Tairos機器人展,2026
所羅門,2026-08-20,1,139.0,158.0,13.67,0.57,Tairos機器人展,2026
所羅門,2026-08-21,2,139.0,150.0,7.91,0.32,Tairos機器人展,2026
所羅門,2026-08-24,3,139.0,145.5,4.68,0.18,Tairos機器人展,2026
所羅門,2026-08-25,4,139.0,145.0,4.32,0.16,Tairos機器人展,2026
所羅門,2026-08-26,5,139.0,146.5,5.4,0.19,Tairos機器人展,2026
所羅門,2026-08-27,6,139.0,147.5,6.12,0.21,Tairos機器人展,2026
直得,2026-07-20,-22,128.33111572265625,121.3674087524414,-5.43,-5.43,Tairos機器人展,2026
直得,2026-07-21,-21,128.33111572265625,124.3518524169922,-3.1,-1.55,Tairos機器人展,2026
直得,2026-07-22,-20,128.33111572265625,128.33111572265625,0.0,0.0,Tairos機器人展,2026
直得,2026-07-23,-19,128.33111572265625,133.80259704589844,4.26,1.07,Tairos機器人展,2026
直得,2026-07-24,-18,128.33111572265625,125.34666442871094,-2.33,-0.47,Tairos機器人展,2026
直得,2026-07-27,-17,128.33111572265625,127.83370208740234,-0.39,-0.06,Tairos機器人展,2026
直得,2026-07-28,-16,128.33111572265625,116.89073944091795,-8.91,-1.27,Tairos機器人展,2026
直得,2026-07-29,-15,128.33111572265625,108.93222045898438,-15.12,-1.89,Tairos機器人展,2026
直得,2026-07-30,-14,128.33111572265625,103.4607391357422,-19.38,-2.15,Tairos機器人展,2026
直得,2026-07-31,-13,128.33111572265625,113.4088897705078,-11.63,-1.16,Tairos機器人展,2026
直得,2026-08-03,-12,128.33111572265625,124.3518524169922,-3.1,-0.28,Tairos機器人展,2026
直得,2026-08-04,-11,128.33111572265625,130.32073974609375,1.55,0.13,Tairos機器人展,2026
直得,2026-08-05,-10,128.33111572265625,136.7870330810547,6.59,0.51,Tairos機器人展,2026
直得,2026-08-06,-9,128.33111572265625,142.25851440429688,10.85,0.78,Tairos機器人展,2026
